Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0819,113,31,144,228,63.16%,55,82,3,0,0,0,0,0
President and Vice President,0820,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0821,362,188,550,1295,42.47%,56,464,12,4,0,0,0,2
President and Vice President,0822,571,185,756,1574,48.03%,27,698,6,6,0,0,0,0
President and Vice President,0823,1339,410,1749,3017,57.97%,854,792,45,17,1,0,0,0
President and Vice President,0824,1059,410,1469,2762,53.19%,281,1112,31,20,0,0,0,0
President and Vice President,0825,9,7,1e,21,76.19%,3,12,1,0,0,0,0,0
President and Vice President,0826,177,70,247,355,69.58%,99,131,9,2,0,0,0,0
President and Vice President,0827,218,234,452,1042,43.38%,131,290,13,7,0,0,0,0
President and Vice President,0828,1176,281,1457,1965,74.15%,996,351,46,5,1,0,0,0
President and Vice President,0829,102,19,121,235,51.49%,30,83,6,1,0,0,0,0
President and Vice President,0830,2,2,4,2,200.00%,3,1,0,0,0,0,0,0
President and Vice President,0831,8,5,13,36,36.11%,6,7,0,0,0,0,0,0
President and Vice President,0832,125,50,175,364,48.08%,39,132,3,1,0,0,0,0
President and Vice President,0833,3,2,5,20,25.00%,2,3,0,0,0,0,0,0
President and Vice President,0834,142,61,203,388,52.32%,24,173,3,0,0,0,0,0
President and Vice President,0835,87,71,158,311,50.80%,38,113,3,1,0,0,0,0
President and Vice President,0837,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0838,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0839,419,174,593,1190,49.83%,104,438,22,11,0,0,0,0
President and Vice President,0840,832,228,1060,1780,59.55%,318,672,22,8,2,0,0,0
President and Vice President,0841,1476,475,1951,3431,56.86%,428,1434,36,15,1,0,0,0
President and Vice President,0842,1341,513,1854,3390,54.69%,653,1083,56,30,1,0,0,0
President and Vice President,0843,595,298,893,1387,64.38%,146,701,12,13,0,0,0,0
President and Vice President,0844,4,0,4,10,40.00%,0,4,0,0,0,0,0,0
President and Vice President,0845,152,13,165,218,75.69%,98,59,6,1,0,0,0,0
President and Vice President,0846,61,22,83,229,36.24%,2,77,1,0,0,0,0,0
President and Vice President,0847,993,330,1323,2310,57.27%,299,951,26,14,0,0,0,0
President and Vice President,0848,1015,201,1216,1875,64.85%,335,803,29,13,0,0,0,0
President and Vice President,0849,731,455,1186,2272,52.20%,281,829,32,16,0,0,0,0
President and Vice President,0850,129,19,148,208,71.15%,50,91,3,1,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0851,1888,441,2329,3597,64.75%,1433,738,76,17,0,0,0,0
President and Vice President,0852,0,0,0,1,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0853,1641,487,2128,2986,71.27%,1407,565,75,14,0,0,0,0
President and Vice President,0854,40,19,59,175,33.71%,7,49,0,2,0,0,0,0
President and Vice President,0855,7,2,9,21,42.86%,5,2,0,1,0,0,0,0
President and Vice President,0856,0,3,3,0,0.00%,0,3,0,0,0,0,0,0
President and Vice President,0857,0,0,0,1,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0858,122,35,157,334,47.01%,4,149,1,0,0,0,0,0
President and Vice President,0859,391,143,534,945,56.51%,103,394,6,10,0,0,0,0
President and Vice President,0860,1,1,2,0,0.00%,0,2,0,0,0,0,0,0
President and Vice President,0861,778,272,1050,1941,54.10%,158,849,15,7,0,0,0,0
President and Vice President,0862,1995,508,2503,3739,66.94%,1324,1034,61,25,1,0,0,0
President and Vice President,0863,192,64,256,581,44.06%,12,238,2,0,0,0,0,0
President and Vice President,0864,693,574,1267,2708,46.79%,237,964,23,10,0,0,0,0
President and Vice President,0865,9,2,11,21,52.38%,0,10,1,0,0,0,0,0
President and Vice President,0866,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0867,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0868,737,495,1232,2446,50.37%,296,873,25,8,0,0,0,0
President and Vice President,0869,166,55,221,480,46.04%,25,187,3,1,0,0,0,0
President and Vice President,0870,0,2,2,0,0.00%,1,1,0,0,0,0,0,0
President and Vice President,0871,2,1,3,3,100.00%,0,2,1,0,0,0,0,0
President and Vice President,0872,16,6,22,68,32.35%,12,10,0,0,0,0,0,0
President and Vice President,0873,296,111,407,778,52.31%,86,305,4,6,0,0,0,0
President and Vice President,0874,1683,670,2353,3294,71.43%,1527,662,82,9,4,0,0,0
President and Vice President,0875,1954,501,2455,3592,68.35%,1019,1289,73,19,0,0,0,0
President and Vice President,0877,1807,528,2335,3651,63.96%,779,1424,56,29,0,0,0,0
President and Vice President,0878,685,110,795,1039,76.52%,583,172,14,2,0,0,0,0
President and Vice President,0879,1222,413,1635,2843,57.51%,608,907,58,16,7,0,0,0
President and Vice President,0880,1358,471,1829,2467,74.14%,1218,479,65,7,0,0,0,0
President and Vice President,0881,2469,927,3396,5638,60.23%,792,2417,96,28,0,0,0,1
President and Vice President,0882,1958,595,2553,4317,59.14%,654,1767,56,29,0,0,0,0
President and Vice President,0883,2254,928,3182,5613,56.69%,482,2549,50,35,2,0,0,0
President and Vice President,0884,149,55,204,396,51.52%,27,165,2,3,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0885,1575,323,1898,2811,67.52%,987,821,48,9,0,0,0,0
President and Vice President,0886,499,152,651,906,71.85%,241,332,48,6,0,0,0,0
President and Vice President,0887,239,95,334,492,67.89%,124,182,20,2,0,0,0,0
President and Vice President,0888,820,289,1109,1867,59.40%,326,714,27,12,0,0,0,0
President and Vice President,0889,114,28,142,238,59.66%,31,97,9,1,0,0,0,0
President and Vice President,0890,450,98,548,1214,45.14%,181,320,22,6,0,0,0,0
President and Vice President,0891,758,194,952,1376,69.19%,288,613,15,10,0,0,0,0
President and Vice President,0892,429,123,552,900,61.33%,141,351,40,9,0,0,0,0
President and Vice President,0893,1,4,5,9,55.56%,2,3,0,0,0,0,0,0
President and Vice President,0894,808,305,1113,2087,53.33%,144,913,23,10,1,0,0,0
President and Vice President,0895,424,252,676,834,81.06%,180,434,34,8,0,0,0,0
President and Vice President,0896,855,254,1109,1467,75.60%,281,748,33,15,0,0,0,0
President and Vice President,0897,815,365,1180,1766,66.82%,573,536,36,14,0,0,0,0
President and Vice President,0898,793,301,1094,1821,60.08%,388,629,38,14,0,0,0,0
President and Vice President,0899,747,165,912,1264,72.15%,478,365,41,6,0,0,0,0
President and Vice President,0900,7,0,7,1,2,58.33%,1,6,0,0,0,0,0,0
President and Vice President,0901,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0902,1318,361,1679,2217,75.73%,662,835,103,24,0,0,0,0
President and Vice President,0903,1320,354,1674,2558,65.44%,1138,434,44,11,2,0,0,0
President and Vice President,0904,2,0,2,8,25.00%,1,1,0,0,0,0,0,0
President and Vice President,0905,390,136,526,946,55.60%,172,323,16,3,0,0,0,0
President and Vice President,0906,19,3,22,28,78.57%,9,12,1,0,0,0,0,0
President and Vice President,0907,53,37,90,201,44.78%,7,79,1,2,0,0,0,0
President and Vice President,0908,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0909,7,1,8,21,38.10%,1,7,0,0,0,0,0,0
President and Vice President,0910,78,37,115,236,48.73%,33,75,5,0,0,0,0,0
President and Vice President,0911,237,63,300,576,52.08%,179,106,7,2,0,0,0,0
President and Vice President,0912,712,167,879,1341,65.55%,481,348,24,9,0,0,0,0
President and Vice President,0913,102,12,114,241,47.30%,17,94,0,0,0,0,0,0
President and Vice President,0914,42,0,42,124,33.87%,7,32,0,0,0,0,0,0
President and Vice President,091,5,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0916,1474,308,1782,2205,80.82%,1257,418,64,9,0,0,0,0
President and Vice President,0917,34,9,43,147,29.25%,5,34,0,2,0,0,0,0
President and Vice President,091,8,3,1,4,7,57.1,4%,1,3,0,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0919,1,0,1,1,100.00%,0,1,0,0,0,0,0,0
President and Vice President,0920,41,13,54,79,68.35%,30,21,1,1,0,0,0,0
President and Vice President,0921,27,6,33,61,54.10%,5,26,0,0,0,0,0,0
President and Vice President,0922,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0923,2336,350,2686,3536,75.96%,1782,712,99,8,2,0,0,0
President and Vice President,0924,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0925,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0926,550,149,699,967,72.29%,443,210,25,1,0,0,0,0
President and Vice President,0927,973,173,1146,1771,64.71%,457,594,58,11,0,0,0,0
President and Vice President,0928,4,1,5,7,71.43%,0,5,0,0,0,0,0,0
President and Vice President,0929,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0930,217,83,300,606,49.50%,17,277,2,0,0,0,0,0
President and Vice President,0931,87,28,115,141,81.56%,31,71,8,0,0,0,0,0
President and Vice President,0932,0,1,1,0,0.00%,0,1,0,0,0,0,0,0
President and Vice President,0933,297,93,390,668,58.38%,92,271,10,4,2,0,0,0
President and Vice President,0934,9,4,13,37,35.14%,7,6,0,0,0,0,0,0
President and Vice President,0935,12,9,21,55,38.18%,7,13,0,0,0,0,0,0
President and Vice President,0936,23,9,32,76,42.11%,11,20,0,0,0,0,0,0
President and Vice President,0937,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0938,72,19,91,255,35.69%,23,63,3,1,0,0,0,0
President and Vice President,0939,1,1,2,4,50.00%,1,1,0,0,0,0,0,0
President and Vice President,0940,9,3,12,28,42.86%,1,11,0,0,0,0,0,0
President and Vice President,0941,287,144,431,870,49.54%,180,222,18,6,0,0,0,0
President and Vice President,0942,103,16,119,152,78.29%,69,40,7,0,0,0,0,0
President and Vice President,0943,192,28,220,774,28.42%,49,166,1,3,0,0,0,0
President and Vice President,0944,1,0,1,1,100.00%,0,1,0,0,0,0,0,0
President and Vice President,0945,8,6,14,21,66.67%,2,9,1,1,0,0,0,0
President and Vice President,0946,4,2,6,14,42.86%,1,5,0,0,0,0,0,0
President and Vice President,0947,429,198,627,820,76.46%,254,315,36,4,1,0,0,0
President and Vice President,0948,0,0,0,1,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0949,84,61,145,210,69.05%,57,74,7,3,0,0,0,0
President and Vice President,0950,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0952,33,15,48,65,73.85%,19,23,1,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0953,4,0,4,8,50.00%,0,3,0,0,0,0,0,0
President and Vice President,0954,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0955,3551,572,4123,5108,80.72%,2414,1387,156,16,2,0,0,0
President and Vice President,0956,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0957,284,39,323,585,55.21%,33,280,3,2,0,0,0,0
President and Vice President,0958,431,231,662,1202,55.07%,108,517,12,11,0,0,0,0
President and Vice President,0959,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0960,831,235,1066,1471,72.47%,200,818,19,7,0,0,0,0
President and Vice President,0961,823,318,1141,2369,48.16%,148,929,19,20,0,0,0,0
President and Vice President,0962,33,12,45,88,51.14%,7,34,2,1,0,0,0,0
President and Vice President,0963,225,91,316,528,59.85%,125,163,15,5,0,0,0,0
President and Vice President,0964,2152,325,2477,3179,77.92%,1275,1051,66,18,0,0,0,0
President and Vice President,0965,102,35,137,345,39.71%,94,38,0,2,0,0,0,0
President and Vice President,0966,368,189,557,1332,41.82%,129,401,10,6,0,0,0,0
President and Vice President,0967,82,24,106,186,56.99%,29,65,6,2,0,0,0,0
President and Vice President,0968,455,127,582,906,64.24%,106,450,14,2,0,0,0,0
President and Vice President,0969,299,71,370,624,59.29%,6,357,1,3,0,0,0,0
President and Vice President,0970,224,102,326,810,40.25%,31,269,7,5,0,0,0,0
President and Vice President,0971,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0972,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0973,505,138,644,999,64.46%,349,243,28,6,0,0,0,0
President and Vice President,0974,0,1,1,0,0.00%,1,0,0,0,0,0,0,0
President and Vice President,0975,104,26,130,190,68.42%,49,64,9,2,0,0,0,0
President and Vice President,0976,190,152,342,712,48.03%,166,158,4,2,0,0,0,0
President and Vice President,0977,160,108,268,617,43.44%,88,165,4,5,0,0,0,0
President and Vice President,0978,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0979,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0980,687,333,1020,1412,72.24%,648,308,39,8,0,0,0,0
President and Vice President,0981,12,2,14,31,45.16%,1,11,0,0,0,0,0,0
President and Vice President,0982,1904,501,2405,2916,82.48%,1662,582,99,12,1,0,0,0
President and Vice President,0983,65,17,82,198,41.41%,40,37,3,0,0,0,0,0
President and Vice President,0984,76,57,133,341,39.00%,9,118,1,2,0,0,0,0
President and Vice President,0985,224,56,280,355,78.87%,102,152,7,5,0,0,0,0
President and Vice President,0986,154,78,232,537,43.20%,21,200,3,5,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0987,478,130,608,1183,51.39%,37,542,8,9,0,0,0,0
President and Vice President,0988,62,15,77,117,65.81%,67,7,3,0,0,0,0,0
President and Vice President,0989,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0990,5,6,11,66,16.67%,4,6,1,0,0,0,0,0
President and Vice President,0991,0,1,1,2,50.00%,0,1,0,0,0,0,0,0
President and Vice President,0992,456,106,562,1075,52.28%,237,284,24,5,0,0,0,0
President and Vice President,0993,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0994,56,12,68,75,90.67%,15,47,4,0,0,0,0,0
President and Vice President,0995,754,193,947,1576,60.09%,66,839,11,11,0,0,0,0
President and Vice President,0996,404,70,474,708,66.95%,245,207,10,5,0,0,0,0
President and Vice President,0997,525,283,808,1909,42.33%,125,639,13,8,0,0,0,0
President and Vice President,0998,24,12,36,68,52.94%,19,14,3,0,0,0,0,0
President and Vice President,0999,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,1000,123,22,145,428,33.88%,17,117,3,5,0,0,0,0
President and Vice President,1002,481,270,751,1804,41.63%,105,609,9,12,0,0,0,0
President and Vice President,1003,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,1004,351,114,465,691,67.29%,180,245,22,4,0,0,0,0
President and Vice President,1005,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,1006,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,1007,595,306,1002,1775,56.45%,193,757,21,13,0,0,0,0
President and Vice President,1008,620,107,727,1011,71.91%,556,140,19,4,0,0,0,0
President and Vice President,1009,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,1010,293,96,389,647,60.12%,66,306,8,7,0,0,0,0
President and Vice President,1011,9,6,15,31,48.39%,6,6,1,0,2,0,0,0
President and Vice President,1012,545,362,907,1633,55.54%,195,661,22,8,1,0,0,0
President and Vice President,Totals:,985571,353327,1338898,2182980,545955,707914,39781,11784,471,68,1,62
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0001,1429,496,1925,2682,71.77%,2,0,0,6,0,0,0,0
President and Vice President,0002,1011,370,1381,2099,65.79%,0,0,0,8,0,0,0,0
President and Vice President,0003,877,336,1213,1625,74.65%,0,0,0,8,0,0,0,0
President and Vice President,0004,960,369,1329,1709,77.76%,0,0,0,10,0,0,0,0
President and Vice President,0005,762,380,1142,1470,77.69%,0,0,0,7,0,0,0,0
President and Vice President,0006,1841,628,2469,4084,60.46%,0,0,1,7,0,0,0,0
President and Vice President,0007,430,125,555,1002,55.39%,0,0,0,0,0,0,0,0
President and Vice President,0008,893,351,1244,1848,67.32%,0,0,1,9,0,0,0,0
President and Vice President,0009,663,312,975,1861,52.39%,0,0,0,1,0,0,0,0
President and Vice President,0010,703,232,935,1830,51.09%,0,0,0,2,0,0,0,0
President and Vice President,0011,622,258,880,1748,50.34%,0,0,0,2,0,0,0,0
President and Vice President,0012,230,65,295,731,40.36%,0,0,0,0,0,0,0,0
President and Vice President,0013,1233,382,1615,2751,58.71%,0,0,0,1,0,0,0,0
President and Vice President,0014,1005,429,1435,1924,74.58%,0,0,0,9,0,0,0,0
President and Vice President,0015,1509,849,2358,2852,82.68%,3,0,1,25,0,0,0,0
President and Vice President,0016,695,189,884,1284,68.85%,0,0,0,3,0,0,0,0
President and Vice President,0017,454,293,747,1198,62.35%,0,0,1,0,0,0,0,0
President and Vice President,0018,745,367,1112,1456,76.37%,1,0,0,11,0,0,0,0
President and Vice President,0019,652,293,945,1288,73.37%,0,0,0,6,0,0,0,0
President and Vice President,0020,1019,335,1354,2780,48.71%,0,0,1,3,0,0,1,0
President and Vice President,0021,542,207,749,1229,60.94%,0,0,0,2,0,0,0,0
President and Vice President,0022,943,419,1362,2501,54.46%,0,0,0,3,0,0,0,0
President and Vice President,0023,132,74,206,551,37.39%,0,0,0,0,0,0,0,0
President and Vice President,0024,294,36,330,712,46.35%,0,0,0,0,0,0,0,0
President and Vice President,0025,243,292,535,1105,48.42%,0,0,0,1,0,0,0,0
President and Vice President,0026,839,313,1152,1969,58.51%,0,0,0,2,0,0,0,0
President and Vice President,0027,1397,508,1905,3271,58.24%,0,0,0,3,0,0,0,0
